bag_value_no_sell,bag_value_sell_half,btc_price_day_0,btc_price_today,eth_price_day_0,eth_price_today,gini_no_sell,gini_sell_half,min_treasury_no_sell,min_treasury_sell_half,roi_btc,roi_eth,roi_no_sell,roi_sell_half,treasury_sell_half
732223.624338571,496655.1443002713,7678.24,33605.48,605.19,907.11,0.7728669847981551,0.7220254828197903,-786000.0,-598215.0057867658,4.376716539206902,1.4988846477965596,0.9315822192602684,-0.14777945903087447,-585059.034239591
818305.2777395294,547269.3536369757,6753.13,33605.48,380.22,907.11,0.7517440473472021,0.6963004973803173,-776000.0,-555186.1773788583,4.976282109184926,2.3857503550575982,1.0545171104890843,0.014756591694111617,-539076.6979031813
825613.5445588635,553203.9839423689,6588.31,33605.48,225.12,907.11,0.7312900943013052,0.6757482505680783,-749000.0,-514132.93713866896,5.100773946581142,4.029450959488273,1.1022877764470809,0.10125064322101421,-501147.6933559694
990566.8877588168,622956.4459026004,3753.99,33605.48,102.48,907.11,0.715664362490112,0.6643339982931327,-721000.0,-414595.65888000646,8.95193647292614,8.851580796252927,1.3738791785836573,0.5479031304918943,-395798.18651389534
963617.7387178782,594810.7830344108,3459.15,33605.48,107.82,907.11,0.6982682872483745,0.6417787233346626,-698000.0,-384616.5746031209,9.714953095413614,8.413188647746244,1.3805411729482495,0.5892614028852163,-368171.0807108693
776961.6085988801,517551.06139461155,5036.68,33605.48,165.51,907.11,0.6916289447287691,0.6253759717561045,-671000.0,-468143.9449176178,6.67214911409897,5.480696030451333,1.1579159591637558,0.1614463795945464,-441970.9163585534
754283.467247081,517465.9057905612,7707.77,33605.48,241.34,907.11,0.6701080023308696,0.6045234641553909,-645000.0,-454184.835014079,4.359948467585307,3.758639264108726,1.169431732166017,0.1898269633755713,-431249.37774860376
773238.435383368,524891.1135844077,10821.73,33605.48,222.49,907.11,0.6453549645511476,0.5785670586805782,-609000.0,-425144.38064810674,3.1053703982634944,4.07708211605016,1.269685443979258,0.28848168200628727,-402244.74755952065
870797.2166441942,566616.5495836033,8393.04,33605.48,180.71,907.11,0.6281794685807596,0.5618495763920979,-576000.0,-355054.5097962015,4.00396995605883,5.019700071938465,1.511800723340615,0.6557612686566208,-333785.5537973916
858967.5909032042,565951.9490371705,7424.29,33605.48,151.19,907.11,0.6076543063185997,0.5416894324930845,-554000.0,-340698.9884972112,4.526423402103097,5.9998015741781865,1.5504830160707657,0.7254083834851254,-318806.0465363912
801646.680613697,542578.4243081427,9508.99,33605.48,184.69,907.11,0.5908739993230336,0.5154050405752417,-537000.0,-354621.9353708627,3.534074596776314,4.911527424332665,1.4928243586847245,0.5988779350914881,-330203.1719150933
926496.1445542166,594307.9780869754,6429.84,33605.48,132.9,907.11,0.594457159430213,0.5215515306984446,-504000.0,-290785.7670529467,5.226487750861608,6.8255079006772,1.8382860010996362,1.1051016583092557,-272960.1447040351
607380.3687465464,442762.92799488263,9439.12,33605.48,220.68,907.11,0.4759613517895249,0.4154245696643557,-469000.0,-328603.7772451757,3.5602344286331777,4.1105220228384995,1.2950540911440223,0.42769157129147634,-302221.86217257916
504573.6675339446,402023.3349143057,10912.82,33605.48,316.66,907.11,0.4160295617840113,0.3684829762561992,-434000.0,-350164.1961172642,3.0794496747861695,2.864618202488473,1.1626121371749876,0.25296786590016856,-313443.0455078733
390052.8243676034,317827.7219843806,10750.72,33605.48,355.49,907.11,0.2920052143331533,0.20648100249687196,-340000.0,-302358.543163436,3.1258818014049297,2.5517173478860165,1.1472141893164807,0.18928495628483497,-260595.79835934326
360703.83587671164,315300.7725970754,17108.4,33605.48,517.49,907.11,0.20208646638969396,0.1483151104878242,-320000.0,-305245.3153006642,1.9642678450351874,1.7529034377475894,1.127199487114724,0.16729261961870293,-264235.4841740903
